first_name,last_name,hire_date
Chandrasekaran,Kaiser,30/12/1986
Bedir,Bashian,5/10/1986
Takahira,Spieker,5/06/1986
Krassimir,Sgarro,4/08/1986
Maya,Ghemri,12/06/1986
Eishiro,Dichev,29/04/1986
Hausi,Kambil,3/07/1986
Feipei,Clouatre,5/03/1986
Susumu,Kuszyk,12/12/1986
Stein,Kulisch,11/06/1986
Gen,Lundstrom,29/05/1986
Reinhard,Serre,14/07/1986
Alain,Fujisaki,7/04/1986
Alain,Dratva,23/04/1986
Claudi,Spieker,23/04/1986
Dulce,Ebeling,18/03/1986
Jayson,Perri,23/03/1986
Steen,Hofman,8/10/1986
Mads,Legleitner,11/07/1986
Gio,Schauser,23/10/1986
Takanari,Beznosov,10/06/1986
Gita,Dichev,1/11/1986
Barna,Mamelak,17/01/1986
Junsik,Sinitsyn,21/11/1986
Snehasis,Anily,3/03/1986
Behnaam,Schwartzbauer,17/10/1986
Shem,Petersohn,8/07/1986
Mokhtar,Chiodo,6/04/1986
Serif,Streit,17/03/1986
Teiji,Marrakchi,26/08/1986
Nathan,Denny,16/09/1986
Hauke,Giaccio,12/12/1986
Aral,Baik,29/03/1986
Seongbin,Poupard,29/09/1986
Tze,Chinin,22/09/1986
Joydip,Terkki,1/03/1986
Jeanne,Zlotek,3/09/1986
Mikhail,Karner,15/05/1986
Guenter,Schneeberger,20/04/1986
Boriana,Mukaidono,27/08/1986
Kristen,Avouris,13/09/1986
Insup,Copas,3/01/1986
Mayumi,Wuwongse,20/11/1986
Dipankar,Riesenhuber,25/11/1986
Shichao,Syrzycki,10/01/1986
Marin,Sidje,24/10/1986
Boguslaw,Luks,7/05/1986
Shigeu,Kieras,30/01/1986
Isamu,Kobuchi,2/02/1986
Xuedong,Sgarro,24/12/1986
Ghassan,Walston,15/06/1986
Armond,Karunanithi,13/11/1986
Munehiko,Beznosov,3/01/1986
Kristen,Salverda,29/07/1986
Kwok,Valiente,30/12/1986
Mikhail,Salvesen,9/08/1986
Jaques,Usery,11/01/1986
Gunilla,Legleitner,15/11/1986
Ibibia,Dayang,29/01/1986
Richard,Godskesen,22/03/1986
Rimli,Bellone,3/02/1986
Hisao,Lodder,8/05/1986
Pascal,Leslie,22/12/1986
Jianwen,Baranowski,9/05/1986
Gennadi,Beznosov,25/06/1986
Serge,Sifakis,7/06/1986
Yuuichi,Sadowski,22/02/1986
Filipe,Ramamoorthy,2/11/1986
Billur,Fiutem,11/06/1986
Vidya,Dymetman,1/01/1986
Sigeru,Langford,17/05/1986
Marjo,Cools,4/12/1986
Boriana,Wendorf,6/10/1986
Shai,Olano,15/11/1986
Boalin,Zhang,23/12/1986
Mario,Narahari,12/02/1986
Naftali,Syang,28/01/1986
Lijia,Birta,1/02/1986
Uli,Ranum,26/02/1986
Gay,Khamsi,27/05/1986
Arne,Geffroy,7/09/1986
Mrinalini,Muntz,28/04/1986
Feipei,Ligten,29/04/1986
Charlene,Fabrizio,13/02/1986
Kazuyasu,Pileggi,16/01/1986
Temple,Zastre,22/07/1986
Guther,Huxford,20/11/1986
Yinghua,Petersohn,25/09/1986
Steve,Munoz,10/12/1986
Mads,Ramalingam,1/08/1986
Xuedong,Fujisaki,9/03/1986
Beshir,Serre,8/12/1986
Ottavia,Perl,1/07/1986
Abdelwaheb,Basawa,28/10/1986
Xuedong,Rossi,12/04/1986
Shawna,Leuchs,8/09/1986
Harngdar,Gire,11/02/1986
Constantine,Hedayat,2/12/1986
Barton,Jenevein,24/03/1986
Clyde,Perly,10/09/1986
Yunming,Papsdorf,29/12/1986
Tsz,Suppi,8/03/1986
Georgi,Osgood,26/10/1986
Sandeepan,Sessa,22/06/1986
Ramzi,Thiria,14/12/1986
Demos,Bahi,5/10/1986
Boriana,Lunn,6/08/1986
Ziya,Cronau,14/09/1986
Lalit,Pellegrinelli,29/08/1986
Sedat,Kuhnemann,2/06/1986
Shay,Ranon,6/10/1986
Mansur,Weiland,19/07/1986
Zhanqiu,Merkl,21/07/1986
Samphel,Tchuente,23/06/1986
Gao,Zizka,24/10/1986
Masali,Dichev,2/02/1986
Yurii,Tetzlaff,26/12/1986
Adin,Kleiser,28/08/1986
Conor,Hofting,3/07/1986
Petter,Serra,5/07/1986
Jamaludin,Remmele,14/06/1986
Vasilii,Karunanithi,15/10/1986
Boutros,Lorys,15/07/1986
Jiakeng,Suermann,7/08/1986
Petter,Thummel,16/09/1986
Kwok,Puoti,27/08/1986
Lihong,Munke,13/04/1986
Khue,Ramsak,10/08/1986
Udo,Tetzlaff,9/04/1986
Christoph,Stavenow,12/04/1986
Yuichiro,Lund,28/01/1986
Danel,Danecki,4/05/1986
Kenroku,Piazza,2/11/1986
Lijia,Selvestrel,31/05/1986
Bodo,Bergere,14/05/1986
Shridhar,Krychniak,2/11/1986
Maik,Sevcikova,12/04/1986
Temple,Alpin,31/08/1986
Arnould,Farrar,1/03/1986
Arco,Granlund,22/11/1986
Quingbo,Leijenhorst,17/02/1986
Wojceich,Benveniste,23/06/1986
Charlene,Steenbeek,19/07/1986
Fumino,Biran,10/02/1986
Youssef,Zeidenstein,26/10/1986
Danae,Hebert,11/10/1986
Teruyuki,Angelov,8/11/1986
Maren,Parascandalo,6/07/1986
JoAnne,Caine,15/10/1986
Jayson,Zumaque,26/02/1986
Hilary,Ghazalie,4/05/1986
Pradeep,Genther,25/11/1986
Woody,Guerreiro,9/10/1986
Kensei,Gist,17/12/1986
Zvonko,Boguraev,28/12/1986
Yongmin,Kusakabe,26/01/1986
Lihong,Zwicker,3/09/1986
Dietrich,Farrow,16/02/1986
Rosalyn,Picaronny,7/12/1986
Jingling,Schaaf,29/06/1986
Wojceich,Bugaenko,3/09/1986
Gill,Liesche,27/02/1986
Yoshimitsu,Sgarro,26/08/1986
Toong,Mitchem,5/02/1986
Hercules,Ghalwash,12/10/1986
Keiichiro,Szilard,5/08/1986
Kellyn,Brookman,25/03/1986
Monique,Radwan,10/09/1986
Souichi,Fasbender,11/12/1986
Xiping,Sewelson,16/09/1986
Gil,Teitelbaum,16/07/1986
Jaideep,Whittlesey,30/09/1986
Hilari,Fairtlough,11/11/1986
Zejun,Massonet,20/10/1986
Amstein,Kugler,2/09/1986
Atreyi,Rousseau,13/04/1986
Behnaam,Docker,25/02/1986
Duangkaew,Baaz,17/12/1986
Shigehito,Matzat,7/08/1986
Giordano,Bultermann,1/06/1986
Ute,Ferriere,1/12/1986
Fuqing,Valette,10/03/1986
Avishai,Brodie,10/05/1986
Vishwani,Thorensen,19/07/1986
Shugo,Reghbati,10/11/1986
Roselyn,Rosin,16/02/1986
Ayakannu,Krogh,2/08/1986
Qunsheng,Hanratty,14/12/1986
Sven,Veccia,7/03/1986
Ennio,Eterovic,16/12/1986
Sadegh,Katalagarianos,28/01/1986
Neelam,Camurati,31/01/1986
Mani,Bolsens,4/04/1986
Ohad,Sridhar,5/08/1986
Suzette,Schneeberger,23/11/1986
Mizuhito,Heping,11/11/1986
Paraskevi,Merlo,2/05/1986
Arunachalam,Milicia,27/10/1986
Nechama,Yeung,2/02/1986
Alselm,Foote,1/05/1986
Tsutomu,Baik,22/04/1986
Leni,Osgood,5/08/1986
Petter,Talmon,17/08/1986
Mang,Basawa,10/02/1986
Basem,Smailagic,9/11/1986
Takahira,Kusalik,6/12/1986
Berthier,Pietrzykowski,30/06/1986
Oldrich,Rotem,6/03/1986
Kerhong,Rothenberg,7/03/1986
Deborah,Ferretti,17/12/1986
Xiaobin,Kitsuregawa,30/06/1986
Dekang,Prampolini,17/11/1986
Maria,Taubenfeld,15/12/1986
Mohan,Sadowski,30/07/1986
Xinyu,Heusch,21/04/1986
Ioana,Gecsei,11/03/1986
Alejandra,Doering,24/02/1986
Arup,Hemaspaandra,18/05/1986
Leon,Ruther,17/02/1986
Yuping,Hofman,3/09/1986
Mani,Barreiro,25/12/1986
Tonia,Jenevein,25/09/1986
Kristin,Schlegelmilch,21/01/1986
Maren,Hellwagner,8/05/1986
Bodo,Schade,14/02/1986
Eckart,Burnard,30/12/1986
Stepehn,Luca,9/10/1986
Fabrizio,Erol,28/02/1986
Lokesh,Kulisch,22/04/1986
Abdelkader,Welham,12/08/1986
Khun,Kobara,11/01/1986
Jackson,Lorch,5/12/1986
Gal,Melski,12/10/1986
Xuejun,Baig,30/05/1986
Amalendu,Gronowski,26/12/1986
Aamer,Belinskaya,13/12/1986
Jaideep,Chinal,30/04/1986
Kazuhira,Holburn,4/11/1986
Masaki,Cyre,20/09/1986
Kiyokazu,Copas,24/08/1986
Theron,Aamodt,16/03/1986
Takushi,Georg,13/02/1986
Aiichiro,Poupard,30/05/1986
Alassane,Conte,31/07/1986
Jamaludin,Masamoto,26/01/1986
Shahid,Tanemo,29/05/1986
Oksana,Riesenhuber,5/06/1986
Xuejun,Marrevee,3/09/1986
Youngkon,Kugler,24/06/1986
Mohan,Auyong,5/02/1986
Jiafu,Gulak,13/05/1986
Piyawadee,England,6/06/1986
Genta,Baca,21/08/1986
Gil,Roisin,15/10/1986
Parke,Marquardt,29/04/1986
Boguslaw,Wolniewicz,26/08/1986
Jinpo,Pusterhofer,19/04/1986
Junsik,Griswold,30/05/1986
Oldrich,Holburn,31/05/1986
Manu,Ellozy,18/11/1986
Kankanahalli,Tokunaga,14/11/1986
Leaf,Soicher,21/08/1986
Tua,Kadhim,1/09/1986
Bojan,Diderrich,16/04/1986
Haldon,Schoegge,7/06/1986
Radhakrishnan,Antonisse,12/09/1986
Abdelaziz,Klyachko,20/01/1986
Elvis,Kohling,25/02/1986
Frederique,Toyoshima,3/05/1986
Otilia,Ritzmann,22/06/1986
Sumant,Rossi,27/03/1986
Takahiro,Shinomoto,30/04/1986
Olivera,Langford,19/02/1986
Laurentiu,Halevi,17/06/1986
Herb,Gewali,11/11/1986
Renny,Zuberek,1/08/1986
Taiji,Segond,23/06/1986
Xinan,Yamaashi,29/01/1986
Kaijung,Raney,16/10/1986
Bader,Pellegrinelli,19/11/1986
Reuven,Asmuth,20/12/1986
Christoph,Gulik,17/02/1986
Boaz,Belinskaya,16/03/1986
Mayumi,Czap,16/01/1986
Marla,Baar,16/06/1986
Conrado,Deville,4/06/1986
Giri,Basagni,14/11/1986
Torsten,Lienhardt,19/08/1986
Gila,Lamma,17/07/1986
Christoper,Shackel,3/06/1986
Mari,Waschkowski,5/05/1986
Maris,Dratva,4/11/1986
Wanqing,Vidal,28/04/1986
Niclas,Buchter,29/03/1986
Zhigen,Aseltine,23/01/1986
Marit,McDermid,20/08/1986
DAIDA,Bruckman,16/10/1986
Augustine,Gomatam,23/07/1986
Howell,Takkinen,2/06/1986
Mari,Kambil,26/08/1986
Hideo,Maquelin,19/04/1986
Filipe,Muhlberg,23/09/1986
Douadi,Schwaller,30/11/1986
Taiji,Lorie,19/07/1986
Abdulla,Gerlach,13/06/1986
Yucel,Kowalchuk,29/05/1986
Parto,Poupard,19/02/1986
Kinh,Dengi,10/09/1986
Christoph,Lovengreen,24/08/1986
Weicheng,Parascandalo,2/06/1986
Irene,Kolvik,9/11/1986
Youjian,Chiola,12/12/1986
Karsten,Geffroy,13/08/1986
Stabislas,Luit,23/02/1986
Pragnesh,Acton,4/11/1986
Gennadi,Soicher,20/02/1986
Paddy,Gien,14/03/1986
Vishwani,Erdmenger,3/02/1986
Zongyan,Jeansoulin,1/08/1986
Elrique,Ravishankar,5/09/1986
Guadalupe,Stavenow,30/03/1986
Tsvetan,Stranks,20/05/1986
Khue,Keohane,20/07/1986
Tayeb,Grospietsch,30/11/1986
Jingling,Kavanagh,17/04/1986
Jordanka,Stentiford,5/05/1986
Eishiro,Khalil,13/10/1986
Ravishankar,Erez,22/06/1986
Tzvetan,Zweizig,14/03/1986
Heather,Hitomi,23/05/1986
Howell,Kruskal,14/07/1986
Serif,Adachi,17/02/1986
Vugranam,Roohalamini,12/06/1986
Goo,Wroclawski,14/12/1986
Subir,Matzel,20/06/1986
Olivera,Swiss,2/12/1986
Demin,Byoun,7/03/1986
Munir,Veldwijk,17/03/1986
Freyja,Jiafu,23/03/1986
Mahmut,Skafidas,16/03/1986
KayLiang,Fargier,23/02/1986
Billie,Macedo,3/10/1986
Srinidhi,Vickson,7/06/1986
Boutros,Ozeri,19/07/1986
Miyeon,Ullian,19/10/1986
Make,Schaad,8/10/1986
Pranjal,Mukaidono,15/06/1986
Jungsoon,Fadgyas,21/06/1986
Amabile,Schaaf,28/08/1986
Nevin,Fadgyas,18/02/1986
Chuanyi,Schaad,25/09/1986
Mingsen,Sidou,11/08/1986
Khaled,Panwar,6/07/1986
Satosi,Kakkad,21/10/1986
Ebbe,Ermel,15/06/1986
Adly,Pelc,11/01/1986
Anyuan,Bierman,13/06/1986
Aamod,Shumilov,18/09/1986
Vasilis,Szilard,29/07/1986
Flemming,Baba,12/02/1986
Shigenori,Fadgyas,2/12/1986
Bodh,Moehrke,11/01/1986
Ingmar,Massonet,31/03/1986
Freyja,Chinal,8/11/1986
Genki,Kragelund,28/03/1986
Niteen,Ruther,11/12/1986
Vidya,Lambe,16/07/1986
Debatosh,Botman,15/03/1986
Kiam,Botman,17/11/1986
Akemi,Salvesen,14/11/1986
Takushi,Kalorkoti,21/06/1986
Mitsuyuki,Jarecki,12/01/1986
Anyuan,Cannane,2/02/1986
Akemi,Fujisaki,16/12/1986
Zita,Feinberg,21/04/1986
Erez,Picaronny,22/12/1986
Karlis,Merkl,5/05/1986
Alejandro,Liesche,8/09/1986
Lucien,Riesenhuber,4/09/1986
Akhilish,Kamber,29/04/1986
Jaideep,Koshiba,16/09/1986
Valeri,Kossowski,4/03/1986
Martina,Perfilyeva,12/01/1986
Toong,Shinomoto,27/01/1986
Boutros,Chiodo,10/08/1986
Chrisa,Zeleznik,9/12/1986
Kazuhisa,Underwood,29/05/1986
Luerbio,Nilsson,17/11/1986
Jiang,Angelov,12/12/1986
Teiji,Chartres,4/04/1986
Goetz,Anido,26/10/1986
Tomokazu,Muhlberg,18/12/1986
Ult,Eugenio,11/07/1986
Mohd,Fujisawa,7/09/1986
Martial,Molenaar,30/03/1986
Masamitsu,Hiraishi,10/04/1986
Conrado,Rettelbach,20/03/1986
Thodoros,Luders,9/11/1986
Tuval,Lamparter,6/11/1986
Demin,Daescu,19/09/1986
Ziva,Fiutem,28/01/1986
Yagil,Apsitis,18/09/1986
Khalil,Bolsens,4/08/1986
Krisda,Thibadeau,8/03/1986
Tomokazu,Yetim,6/07/1986
Georgy,Bouloucos,16/10/1986
Samphel,Uehara,29/09/1986
Mansur,Riesenhuber,15/09/1986
Reinhold,Perz,15/05/1986
Flemming,Kavanagh,3/11/1986
Serge,Chaudhury,4/01/1986
Demin,Silva,27/04/1986
Rasikan,Beetstra,5/03/1986
Kamakshi,Chachaty,27/08/1986
Yuguang,Marquardt,27/12/1986
Heather,Ratzlaff,8/02/1986
Yinghua,Baca,16/03/1986
Kwee,Snedden,20/06/1986
Masanao,Smeets,6/04/1986
Juichirou,Marshall,22/02/1986
Mooi,Casley,29/10/1986
Denny,Ozeki,17/11/1986
Chriss,Genther,25/08/1986
Jiann,McFarlan,4/02/1986
Gila,Schreiter,6/07/1986
Rasiah,Bouloucos,16/02/1986
Dung,Zongker,29/05/1986
Karlis,Chimia,12/12/1986
Elliott,Pluym,23/04/1986
Elzbieta,Thiria,21/03/1986
Zongyan,Linares,15/04/1986
Moto,Christianini,3/05/1986
Susanta,Avouris,16/07/1986
Salvador,Berstel,5/02/1986
Quingbo,Schurmann,31/08/1986
Kwun,Figueira,27/05/1986
Pranav,Chenney,16/01/1986
Freyja,Oaver,21/10/1986
Kiyotoshi,Klyachko,13/04/1986
Douadi,Khalil,8/09/1986
Bowen,Alvarado,30/10/1986
Ipke,Daescu,18/11/1986
Xiaobin,Crooks,17/05/1986
Oscar,Masaki,26/07/1986
Jordanka,Demizu,8/05/1986
Zine,Radhakrishnan,19/11/1986
Nathan,Haldar,11/06/1986
Khoa,Maierhofer,14/08/1986
Sushant,Reghbati,8/09/1986
Pasqua,Borstler,11/04/1986
Yoshinari,Pollacia,29/01/1986
Remmert,Feldhoffer,1/04/1986
Palash,Onuegbe,3/02/1986
Shawna,Bardell,23/10/1986
Pasqua,Marzano,5/09/1986
Shaowei,Nicolson,19/07/1986
Junichi,Trelles,5/12/1986
Mamdouh,Ghandeharizadeh,8/01/1986
Magy,Assaf,7/07/1986
Woody,Yavatkar,14/10/1986
Hidde,Akiyama,15/02/1986
Berni,Zeleznik,23/08/1986
Boaz,Giveon,19/10/1986
Gino,Pashtan,3/08/1986
Berhard,Tasistro,20/02/1986
Xianlong,Knightly,9/05/1986
Conor,Quaggetto,8/10/1986
Atreye,Redmiles,21/01/1986
Qunsheng,Birrer,13/05/1986
Goh,Benaini,3/04/1986
Giap,Krychniak,5/04/1986
Bernd,Speek,20/12/1986
Taiji,Hainaut,3/02/1986
Lalit,Colorni,11/08/1986
Zorica,Hiroyama,16/06/1986
Girolamo,Streit,7/02/1986
Hailing,Foote,21/04/1986
Jaewoo,Ratnaker,2/06/1986
Toshimori,Cronin,24/08/1986
Frazer,Pellegrinelli,23/05/1986
Dulce,Meszaros,25/04/1986
Kerryn,Fargier,13/06/1986
Aksel,Weiland,26/08/1986
Frazer,Pleszkun,19/06/1986
Valeska,Katalagarianos,8/03/1986
Mohua,Marchesini,20/08/1986
Susumu,Foote,21/05/1986
Youjian,Ranta,4/07/1986
Pranay,Perez,13/05/1986
Sastry,Jonsson,1/05/1986
Goetz,Hitomi,29/08/1986
Kazunori,Pepe,11/09/1986
Baziley,Motley,20/02/1986
Gadiel,Krychniak,20/02/1986
Goetz,Melichar,9/11/1986
Ghassan,Sgarro,12/07/1986
Danel,Laurillard,23/06/1986
Ottavia,Ventosa,4/01/1986
Gilbert,Trelles,22/09/1986
Jeanne,Hettesheimer,16/02/1986
Mayuri,Bernick,17/12/1986
Ronnie,Rathonyi,19/02/1986
Khalil,Percebois,13/03/1986
Leandro,Bondorf,5/09/1986
Tetsurou,Zschoche,27/10/1986
Xiadong,Huxford,11/01/1986
Chriss,Baez,22/09/1986
Weiye,Bierman,19/06/1986
Yifei,Merli,7/06/1986
Siddarth,Baca,5/11/1986
Stevo,Riexinger,28/09/1986
Richard,Borovoy,23/01/1986
Guangming,Takkinen,24/05/1986
Shuky,Gente,16/09/1986
Shao,Ramsak,7/04/1986
Fumiyo,DuCasse,1/10/1986
Eirik,Paludetto,9/06/1986
Olivera,Landherr,23/06/1986
Irena,Rikino,8/03/1986
Premal,Hanratty,8/09/1986
Stafford,Panangaden,21/12/1986
Garnik,Litzkow,1/10/1986
Moon,Schwabacher,19/05/1986
Sakthirel,Ramsak,4/09/1986
Maia,Levasseur,12/12/1986
Weiwu,Selenyi,17/02/1986
Yurii,Ranst,1/11/1986
Teiji,Wuwongse,18/07/1986
Hsiangchu,Biros,2/08/1986
Toshimori,Straney,10/03/1986
Renee,Basart,30/10/1986
Arvin,Rajaraman,23/06/1986
Gao,Poehlman,26/11/1986
Niclas,Dalphin,25/01/1986
Cordelia,Schwabacher,19/06/1986
Hitomi,Herber,2/02/1986
Koldo,Detkin,28/06/1986
Olivera,Shumilov,19/03/1986
Elgin,Setia,12/04/1986
Doowon,Setlzner,22/10/1986
Marin,Heijenga,25/10/1986
Shahar,Murtha,6/06/1986
Anyuan,Hoppenstand,24/03/1986
Bader,Chorvat,26/03/1986
Abdulla,Ponthieu,10/10/1986
Zeydy,Ladret,19/07/1986
Alain,Linnainmaa,17/09/1986
Premsyl,Casperson,5/11/1986
Chiradeep,Ciolek,10/12/1986
Gou,Gammage,19/02/1986
Olivera,Thibadeau,23/12/1986
Tse,Kalsbeek,25/02/1986
Miomir,Mansanne,22/08/1986
Subbu,Begiun,21/07/1986
Parke,Deville,10/12/1986
Elzbieta,Thorensen,20/06/1986
Clyde,Swift,14/03/1986
Subir,Suessmith,5/01/1986
Sanjiv,Uehara,13/09/1986
Eldridge,Papadias,19/08/1986
Szabolcs,Usdin,17/12/1986
Mack,Erdi,29/09/1986
Shirish,Osgood,10/06/1986
Francesca,Basawa,5/02/1986
Spyrose,Parhami,1/10/1986
Stamatina,Valtorta,25/11/1986
Mrinalini,Hennebert,8/02/1986
Odinaldo,Giaccio,9/10/1986
Tetsushi,Melski,8/11/1986
Evgueni,Marshall,18/11/1986
Bodh,Hiltgen,16/06/1986
Lobel,Zuberek,4/08/1986
Pranjal,Worfolk,9/09/1986
Satoru,Porotnikoff,20/10/1986
Xiong,Peot,29/04/1986
Trygve,Birdsall,10/09/1986
Sangeeta,Rosar,12/10/1986
Morrie,Smeets,6/01/1986
Kwangsub,Shimshoni,13/12/1986
Lorien,Kaelbling,18/04/1986
Vitaly,Ulupinar,17/01/1986
Gopalakrishnan,Baba,15/12/1986
Macha,Chartres,24/02/1986
Gaetan,Farrar,12/07/1986
Zhiwei,Selvestrel,13/10/1986
Patricia,Ullian,15/04/1986
Uwe,Callaway,9/05/1986
Suzette,Schlegelmilch,22/01/1986
Henk,Peltason,30/05/1986
Tzvetan,Picel,7/06/1986
Cedric,Kalefeld,25/12/1986
Sampalli,Ramaiah,24/09/1986
Fabrizio,Marletta,27/03/1986
Giri,Egerstedt,24/09/1986
Greger,Anily,8/03/1986
Sajjan,Dahlbom,30/06/1986
Jixiang,Marwedel,12/11/1986
Arnould,Kavvadias,3/01/1986
Gianluca,Sevcikova,11/07/1986
Alain,Gyorkos,30/04/1986
Kayoko,Walston,13/06/1986
Mohammad,Yoshimura,1/08/1986
Takahiro,Milicia,13/10/1986
Heon,Thorelli,2/08/1986
Nectarios,Maliniak,16/01/1986
Lobel,Barvinok,7/05/1986
Nigel,Iacovou,28/11/1986
Xumin,Conta,3/04/1986
Jouni,Boreale,30/12/1986
Mahmut,Peris,6/01/1986
Ger,Cooke,6/11/1986
Wilmer,Lamparter,28/10/1986
Rimli,Ouhyoung,10/03/1986
Samphel,Ghemri,24/11/1986
Weiru,Swift,22/07/1986
Munenori,Marrevee,28/02/1986
Marin,Zirintsis,20/06/1986
Goa,Osgood,8/02/1986
Sastry,Hitomi,31/07/1986
Indrajit,Peck,16/06/1986
Khedija,Schaad,2/10/1986
Boaz,Melichar,5/09/1986
Aluzio,Georgakopoulos,25/03/1986
Supot,Oaver,15/03/1986
Hatem,Asser,28/02/1986
Poornachandra,Sudbeck,13/08/1986
Arnd,Yamaashi,14/10/1986
Shim,Swick,19/08/1986
Licheng,Zhang,16/08/1986
Deborah,Rouquie,28/02/1986
Mizuhito,Kossowski,8/01/1986
Takahiro,Matzov,10/10/1986
Kwangsub,Uhrig,19/01/1986
Bedrich,Businaro,25/09/1986
Taizo,Linares,4/04/1986
Yucel,Rosch,5/01/1986
Ortrud,Fabrizio,2/12/1986
Denis,Shackel,2/06/1986
Basem,Klerer,29/01/1986
Mayumi,Gustavson,17/09/1986
Stafford,Kornatzky,29/08/1986
Cathie,Sessa,10/01/1986
Souichi,Duclos,31/07/1986
Byong,Benner,10/02/1986
Constantino,Krogh,28/04/1986
Lokesh,Jayawardene,26/04/1986
Sibyl,Luef,20/08/1986
Aluzio,Kakkad,31/05/1986
Tuval,Ruemmler,30/08/1986
Fun,Rajaraman,5/11/1986
Hailing,Morrey,25/09/1986
Marla,Seghrouchni,16/11/1986
Ronnie,Lichtner,15/05/1986
Arun,Giarratana,24/10/1986
Sreekrishna,Duclos,1/03/1986
Suzette,Schieder,17/03/1986
Mototsugu,Edelhoff,5/03/1986
Shakhar,Heuter,4/03/1986
Jianhao,Peres,26/10/1986
Doowon,Mukaidono,3/11/1986
Kish,Ducloy,30/07/1986
Ronnie,Chartres,23/01/1986
Makato,Gide,14/01/1986
Nobuyoshi,Kitsuregawa,8/05/1986
Uriel,Barreiro,30/07/1986
Moty,Henders,5/05/1986
Arfst,Barriga,1/06/1986
Sanjiv,Plump,26/05/1986
Luise,Matzat,25/07/1986
Kristof,Desikan,24/09/1986
Sandeepan,Mondadori,4/10/1986
Kwangyoen,Steinauer,19/03/1986
Sergi,Mitchem,2/09/1986
Anneke,Munke,2/08/1986
Marlo,Tiemann,5/09/1986
Tesuya,Speel,22/11/1986
Nirmal,Rosis,24/06/1986
Tetsurou,Garnick,14/12/1986
Reinhold,Wegerle,9/08/1986
Vitali,Eickenmeyer,1/10/1986
Martien,Walstra,22/10/1986
Maria,Warwick,7/08/1986
Yifei,Stanger,2/09/1986
Sreekrishna,Wynblatt,19/08/1986
Shichao,Tempesti,21/10/1986
Charmane,Huttel,14/07/1986
Perla,Beetstra,28/03/1986
Lorien,Perng,11/08/1986
Xinglin,Ponthieu,18/01/1986
Arif,Macedo,22/12/1986
Licheng,Welham,23/12/1986
Morrie,Luck,3/02/1986
Diederik,VanScheik,11/07/1986
Xiaocheng,Birke,26/06/1986
Martial,Manderick,22/06/1986
Ebbe,Silva,11/06/1986
Muneo,Raoux,14/02/1986
Fumiyo,Ariola,29/05/1986
Zhilian,Goodrum,27/01/1986
Ranan,Weedon,15/01/1986
Chiradeep,Pettis,5/07/1986
Nahid,Neiman,20/09/1986
Sergi,Schiettecatte,4/01/1986
Janalee,Viele,27/03/1986
Kazunori,Pintelas,19/06/1986
Baoqiu,Kakkar,3/03/1986
Yannis,Onuegbe,19/09/1986
Tse,Dredge,14/06/1986
